start_date,end_date,name,description
Aug-22,,Research Assistant mentor,"Mentor for Orla Banting, undergraduate student intern in the Plant-Climate Interaction lab at Trinity College Dublin"
Mar-22,present,Demonstrator,Supporting the teaching of third and fourth year Botany and Environmental Sciences modules in Trinity College Dublin
