start_date,end_date,degree,university,location,pi,dissertation,grade
2018,2020,MSc in Ecobiology - ecosystem and conservation biology,Sapienza University,"Rome, Italy","Suzette Flantua, Donatella Magri","Humans in the Northern Andes, a palaeo-proxy reconstruction for the last 12,000 years",110 with honours/ 110
2014,2018,BSc in Biology,Sapienza University,"Rome, Italy",Loretta Gratani,Structural characteristics of the tree-lined avenues in the Sapienza University campus,108/ 110
