name,description,who,amount,when
Postgraduate scholarship,Scholarship aimed at supporting postgraduate activities in a foreign institution,Sapienza University of Rome,"10,320 €",Nov-21
Best 15% student exam bonus,"Bonus on the tuition fees for the academic year, aimed at the 15% of students who have attained the best results by number of ECTS and grades obtained ",Sapienza University of Rome,265 €,Oct-21
